Trading Partner,Total Trade ($M),RtW (%),Exports ($M),RtW (%).1,Imports ($M),RtW (%).2,Net Exports ($M),Exports Ticker,Imports Ticker,country,year
Bangladesh,1894.11,0.29,110.42,0.04,1783.69,0.5,-1673.28,513D1184 Index,184D1513 Index,Spain,2014
Lithuania,1691.27,0.26,667.98,0.22,1023.29,0.29,-355.31,946D1184 Index,184D1946 Index,Spain,2014
Qatar,1650.18,0.25,349.9,0.12,1300.28,0.36,-950.39,453D1184 Index,184D1453 Index,Spain,2014
Tunisia,1510.44,0.23,1005.3,0.34,505.14,0.14,500.16,744D1184 Index,184D1744 Index,Spain,2014
Libya,1477.97,0.22,358.68,0.12,1119.29,0.31,-760.61,672D1184 Index,184D1672 Index,Spain,2014
Thailand,1462.56,0.22,580.8,0.19,881.76,0.25,-300.95,578D1184 Index,184D1578 Index,Spain,2014
Singapore,1441.17,0.22,1176.32,0.39,264.85,0.07,911.47,576D1184 Index,184D1576 Index,Spain,2014
Iraq,1397.12,0.21,328.85,0.11,1068.27,0.3,-739.43,433D1184 Index,184D1433 Index,Spain,2014
Hong Kong,1358.58,0.21,1023.36,0.34,335.22,0.09,688.14,532D1184 Index,184D1532 Index,Spain,2014
Malaysia,1326.21,0.2,719.92,0.24,606.29,0.17,113.64,548D1184 Index,184D1548 Index,Spain,2014
Ecuador,1252.87,0.19,653.32,0.22,599.55,0.17,53.76,248D1184 Index,184D1248 Index,Spain,2014
Cuba,1160.51,0.18,1011.3,0.34,149.21,0.04,862.09,928D1184 Index,184D1928 Index,Spain,2014
Equatorial Guinea,1152.8,0.17,449.43,0.15,703.37,0.2,-253.94,642D1184 Index,184D1642 Index,Spain,2014
Estonia,1144.02,0.17,169.69,0.06,974.33,0.27,-804.64,939D1184 Index,184D1939 Index,Spain,2014
Azerbaijan,1002.65,0.15,49.38,0.02,953.27,0.27,-903.89,912D1184 Index,184D1912 Index,Spain,2014
Slovenia,973.66,0.15,539.05,0.18,434.61,0.12,104.44,961D1184 Index,184D1961 Index,Spain,2014
Cameroon,964.68,0.15,163.48,0.05,801.2,0.22,-637.72,622D1184 Index,184D1622 Index,Spain,2014
Pakistan,961.78,0.15,147.12,0.05,814.66,0.23,-667.54,564D1184 Index,184D1564 Index,Spain,2014
Luxembourg,929.97,0.14,186.56,0.06,743.42,0.21,-556.86,137D1184 Index,184D1137 Index,Spain,2014
Latvia,819.61,0.12,270.91,0.09,548.7,0.15,-277.78,941D1184 Index,184D1941 Index,Spain,2014
New Zealand,611.81,0.09,459.96,0.15,151.85,0.04,308.11,196D1184 Index,184D1196 Index,Spain,2014
Philippines,594.19,0.09,409.55,0.14,184.64,0.05,224.91,566D1184 Index,184D1566 Index,Spain,2014
Dominican Republic,568.42,0.09,463.56,0.15,104.86,0.03,358.71,243D1184 Index,184D1243 Index,Spain,2014
Gabon,515.75,0.08,69.55,0.02,446.2,0.12,-376.64,646D1184 Index,184D1646 Index,Spain,2014
Croatia,511.01,0.08,371.0,0.12,140.01,0.04,230.99,960D1184 Index,184D1960 Index,Spain,2014
Lebanon,508.93,0.08,470.81,0.16,38.12,0.01,432.69,446D1184 Index,184D1446 Index,Spain,2014
Cote D Ivoire,506.85,0.08,231.86,0.08,274.99,0.08,-43.14,662D1184 Index,184D1662 Index,Spain,2014
Kuwait,456.69,0.07,309.27,0.1,147.42,0.04,161.84,443D1184 Index,184D1443 Index,Spain,2014
Belarus,452.09,0.07,434.92,0.15,17.17,0.0,417.75,913D1184 Index,184D1913 Index,Spain,2014
Guatemala,435.51,0.07,305.0,0.1,130.51,0.04,174.48,258D1184 Index,184D1258 Index,Spain,2014
Uruguay,429.26,0.07,313.82,0.1,115.44,0.03,198.37,298D1184 Index,184D1298 Index,Spain,2014
Malta,415.67,0.06,312.95,0.1,102.71,0.03,210.24,181D1184 Index,184D1181 Index,Spain,2014
Cyprus,405.34,0.06,373.26,0.12,32.08,0.01,341.19,423D1184 Index,184D1423 Index,Spain,2014
Panama,401.94,0.06,334.48,0.11,67.46,0.02,267.02,283D1184 Index,184D1283 Index,Spain,2014
Iran,398.06,0.06,246.92,0.08,151.14,0.04,95.78,429D1184 Index,184D1429 Index,Spain,2014
Serbia,394.56,0.06,240.43,0.08,154.13,0.04,86.31,942D1184 Index,184D1942 Index,Spain,2014
Jordan,389.56,0.06,337.46,0.11,52.1,0.01,285.36,439D1184 Index,184D1439 Index,Spain,2014
Cambodia,385.28,0.06,11.46,0.0,373.83,0.1,-362.37,522D1184 Index,184D1522 Index,Spain,2014
Costa Rica,380.84,0.06,206.0,0.07,174.84,0.05,31.16,238D1184 Index,184D1238 Index,Spain,2014
Mozambique,358.96,0.05,53.3,0.02,305.65,0.09,-252.35,688D1184 Index,184D1688 Index,Spain,2014
Mauritania,337.83,0.05,179.48,0.06,158.35,0.04,21.12,682D1184 Index,184D1682 Index,Spain,2014
Senegal,332.73,0.05,226.57,0.08,106.16,0.03,120.41,722D1184 Index,184D1722 Index,Spain,2014
Ghana,328.6,0.05,199.31,0.07,129.29,0.04,70.03,652D1184 Index,184D1652 Index,Spain,2014
Bolivia,320.24,0.05,253.58,0.08,66.66,0.02,186.92,218D1184 Index,184D1218 Index,Spain,2014
Mauritius,312.62,0.05,186.79,0.06,125.82,0.04,60.97,684D1184 Index,184D1684 Index,Spain,2014
Oman,288.9,0.04,218.71,0.07,70.19,0.02,148.52,449D1184 Index,184D1449 Index,Spain,2014
Albania,262.42,0.04,90.8,0.03,171.62,0.05,-80.82,914D1184 Index,184D1914 Index,Spain,2014
Paraguay,257.0,0.04,120.34,0.04,136.66,0.04,-16.32,288D1184 Index,184D1288 Index,Spain,2014
Guinea,220.1,0.03,37.54,0.01,182.57,0.05,-145.03,656D1184 Index,184D1656 Index,Spain,2014
Georgia,198.05,0.03,90.28,0.03,107.77,0.03,-17.49,915D1184 Index,184D1915 Index,Spain,2014
Honduras,194.98,0.03,138.71,0.05,56.27,0.02,82.43,268D1184 Index,184D1268 Index,Spain,2014
El Salvador,181.88,0.03,122.08,0.04,59.8,0.02,62.28,253D1184 Index,184D1253 Index,Spain,2014
Kenya,180.18,0.03,140.67,0.05,39.51,0.01,101.16,664D1184 Index,184D1664 Index,Spain,2014
Seychelles,175.85,0.03,152.36,0.05,23.5,0.01,128.86,718D1184 Index,184D1718 Index,Spain,2014
Nicaragua,175.77,0.03,68.35,0.02,107.42,0.03,-39.07,278D1184 Index,184D1278 Index,Spain,2014
Ethiopia,169.53,0.03,159.77,0.05,9.76,0.0,150.01,644D1184 Index,184D1644 Index,Spain,2014
Bahrain,166.8,0.03,97.92,0.03,68.88,0.02,29.04,419D1184 Index,184D1419 Index,Spain,2014
Macedonia,158.39,0.02,86.05,0.03,72.33,0.02,13.72,962D1184 Index,184D1962 Index,Spain,2014
Congo,155.93,0.02,47.76,0.02,108.17,0.03,-60.4,634D1184 Index,184D1634 Index,Spain,2014
Iceland,155.84,0.02,79.32,0.03,76.52,0.02,2.8,176D1184 Index,184D1176 Index,Spain,2014
Bosnia and Herzegovina,151.36,0.02,118.53,0.04,32.83,0.01,85.7,963D1184 Index,184D1963 Index,Spain,2014
"Congo, Democratic Republic",140.08,0.02,47.59,0.02,92.49,0.03,-44.9,636D1184 Index,184D1636 Index,Spain,2014
Cape Verde,122.59,0.02,64.9,0.02,57.69,0.02,7.21,624D1184 Index,184D1624 Index,Spain,2014
Sri Lanka,119.87,0.02,50.43,0.02,69.44,0.02,-19.01,524D1184 Index,184D1524 Index,Spain,2014
Madagascar,118.67,0.02,53.94,0.02,64.74,0.02,-10.8,674D1184 Index,184D1674 Index,Spain,2014
New Caledonia,115.95,0.02,58.46,0.02,57.48,0.02,0.98,839D1184 Index,184D1839 Index,Spain,2014
Liberia,109.75,0.02,63.12,0.02,46.62,0.01,16.5,668D1184 Index,184D1668 Index,Spain,2014
Papua New Guinea,104.74,0.02,2.27,0.0,102.46,0.03,-100.19,853D1184 Index,184D1853 Index,Spain,2014
Benin,104.19,0.02,101.28,0.03,2.92,0.0,98.36,638D1184 Index,184D1638 Index,Spain,2014
Armenia,102.33,0.02,50.49,0.02,51.83,0.01,-1.34,911D1184 Index,184D1911 Index,Spain,2014
Togo,90.57,0.01,82.95,0.03,7.62,0.0,75.34,742D1184 Index,184D1742 Index,Spain,2014
Uganda,67.63,0.01,23.96,0.01,43.67,0.01,-19.71,746D1184 Index,184D1746 Index,Spain,2014
Moldova,64.42,0.01,47.46,0.02,16.95,0.0,30.51,921D1184 Index,184D1921 Index,Spain,2014
Peoples Democratic Republic of Yemen,61.74,0.01,55.39,0.02,6.35,0.0,49.04,474D1184 Index,184D1474 Index,Spain,2014
Myanmar,61.09,0.01,5.96,0.0,55.13,0.02,-49.17,518D1184 Index,184D1518 Index,Spain,2014
Macau,59.78,0.01,58.82,0.02,0.96,0.0,57.85,546D1184 Index,184D1546 Index,Spain,2014
Burkina Faso,58.55,0.01,48.24,0.02,10.31,0.0,37.93,748D1184 Index,184D1748 Index,Spain,2014
Fiji,57.98,0.01,37.16,0.01,20.82,0.01,16.34,819D1184 Index,184D1819 Index,Spain,2014
Tanzania,55.77,0.01,33.81,0.01,21.96,0.01,11.85,738D1184 Index,184D1738 Index,Spain,2014
Mali,48.0,0.01,45.3,0.02,2.7,0.0,42.6,678D1184 Index,184D1678 Index,Spain,2014
Montenegro,45.71,0.01,45.54,0.02,0.18,0.0,45.36,943D1184 Index,184D1943 Index,Spain,2014
Jamaica,45.05,0.01,44.21,0.01,0.84,0.0,43.37,343D1184 Index,184D1343 Index,Spain,2014
Syria,42.01,0.01,37.48,0.01,4.53,0.0,32.94,463D1184 Index,184D1463 Index,Spain,2014
Zimbabwe,41.56,0.01,3.08,0.0,38.48,0.01,-35.4,698D1184 Index,184D1698 Index,Spain,2014
Sudan,41.17,0.01,22.1,0.01,19.07,0.01,3.02,732D1184 Index,184D1732 Index,Spain,2014
Uzbekistan,40.93,0.01,36.94,0.01,3.99,0.0,32.95,927D1184 Index,184D1927 Index,Spain,2014
Turkmenistan,31.79,0.0,19.23,0.01,12.56,0.0,6.67,925D1184 Index,184D1925 Index,Spain,2014
Kyrgyzstan,25.89,0.0,25.67,0.01,0.23,0.0,25.44,917D1184 Index,184D1917 Index,Spain,2014
Haiti,25.59,0.0,21.08,0.01,4.51,0.0,16.57,263D1184 Index,184D1263 Index,Spain,2014
Mongolia,24.2,0.0,23.41,0.01,0.79,0.0,22.62,948D1184 Index,184D1948 Index,Spain,2014
Sierra Leone,22.26,0.0,20.79,0.01,1.47,0.0,19.32,724D1184 Index,184D1724 Index,Spain,2014
Afghanistan,19.03,0.0,15.85,0.01,3.18,0.0,12.67,512D1184 Index,184D1512 Index,Spain,2014
Aruba,17.33,0.0,16.79,0.01,0.54,0.0,16.25,314D1184 Index,184D1314 Index,Spain,2014
Zambia,16.05,0.0,11.53,0.0,4.52,0.0,7.01,754D1184 Index,184D1754 Index,Spain,2014
Faeroe Islands,15.44,0.0,12.71,0.0,2.73,0.0,9.98,816D1184 Index,184D1816 Index,Spain,2014
Malawi,15.33,0.0,2.41,0.0,12.92,0.0,-10.51,676D1184 Index,184D1676 Index,Spain,2014
Bahamas,12.74,0.0,11.77,0.0,0.97,0.0,10.8,313D1184 Index,184D1313 Index,Spain,2014
Niger,11.01,0.0,9.72,0.0,1.3,0.0,8.42,692D1184 Index,184D1692 Index,Spain,2014
Chad,10.66,0.0,9.96,0.0,0.7,0.0,9.27,628D1184 Index,184D1628 Index,Spain,2014
Gambia,10.4,0.0,8.4,0.0,2.0,0.0,6.41,648D1184 Index,184D1648 Index,Spain,2014
Barbados,9.87,0.0,8.16,0.0,1.71,0.0,6.45,316D1184 Index,184D1316 Index,Spain,2014
Solomon Islands,8.59,0.0,0.3,0.0,8.29,0.0,-8.0,813D1184 Index,184D1813 Index,Spain,2014
Nepal,8.46,0.0,4.96,0.0,3.5,0.0,1.45,558D1184 Index,184D1558 Index,Spain,2014
Suriname,7.56,0.0,5.76,0.0,1.8,0.0,3.96,366D1184 Index,184D1366 Index,Spain,2014
Guyana,6.65,0.0,1.48,0.0,5.17,0.0,-3.69,336D1184 Index,184D1336 Index,Spain,2014
Belize,6.64,0.0,0.88,0.0,5.76,0.0,-4.88,339D1184 Index,184D1339 Index,Spain,2014
Laos,5.73,0.0,0.03,0.0,5.7,0.0,-5.68,544D1184 Index,184D1544 Index,Spain,2014
Maldives,5.33,0.0,2.51,0.0,2.83,0.0,-0.32,556D1184 Index,184D1556 Index,Spain,2014
Djibouti,4.15,0.0,0.66,0.0,3.49,0.0,-2.82,611D1184 Index,184D1611 Index,Spain,2014
Tajikistan,3.93,0.0,3.93,0.0,0.0,0.0,3.93,923D1184 Index,184D1923 Index,Spain,2014
Rwanda,3.8,0.0,3.64,0.0,0.16,0.0,3.48,714D1184 Index,184D1714 Index,Spain,2014
Brunei Darussalam,3.73,0.0,3.71,0.0,0.02,0.0,3.68,516D1184 Index,184D1516 Index,Spain,2014
Sao Tome & Principe,3.51,0.0,2.12,0.0,1.38,0.0,0.74,716D1184 Index,184D1716 Index,Spain,2014
Guinea-Bissau,2.1,0.0,2.1,0.0,0.0,0.0,2.1,654D1184 Index,184D1654 Index,Spain,2014
Greenland,1.77,0.0,1.58,0.0,0.19,0.0,1.39,326D1184 Index,184D1326 Index,Spain,2014
Central African Rep.,1.74,0.0,1.51,0.0,0.23,0.0,1.28,626D1184 Index,184D1626 Index,Spain,2014
Somalia,1.68,0.0,1.59,0.0,0.09,0.0,1.49,726D1184 Index,184D1726 Index,Spain,2014
Bermuda,1.37,0.0,0.61,0.0,0.76,0.0,-0.16,319D1184 Index,184D1319 Index,Spain,2014
Burundi,0.93,0.0,0.6,0.0,0.33,0.0,0.27,618D1184 Index,184D1618 Index,Spain,2014
North Korea,0.9,0.0,0.18,0.0,0.73,0.0,-0.55,954D1184 Index,184D1954 Index,Spain,2014
Comoros,0.52,0.0,0.24,0.0,0.28,0.0,-0.05,632D1184 Index,184D1632 Index,Spain,2014
St. Vincent & Grens.,0.51,0.0,0.49,0.0,0.03,0.0,0.46,364I1184 Index,184D1364 Index,Spain,2014
Grenada,0.45,0.0,0.25,0.0,0.2,0.0,0.05,328D1184 Index,184D1328 Index,Spain,2014
St. Lucia,0.29,0.0,0.28,0.0,0.01,0.0,0.28,362D1184 Index,184D1362 Index,Spain,2014
Dominica,0.11,0.0,0.11,0.0,0.0,0.0,0.11,321D1184 Index,184D1321 Index,Spain,2014
Vanuatu,0.1,0.0,0.01,0.0,0.1,0.0,-0.09,846D1184 Index,184D1846 Index,Spain,2014
Samoa,0.03,0.0,0.03,0.0,0.0,0.0,0.03,862D1184 Index,184D1862 Index,Spain,2014
Tonga,0.01,0.0,0.01,0.0,0.0,0.0,0.01,866D1184 Index,184D1866 Index,Spain,2014
Netherlands Antilles,0.0,0.0,0.0,0.0,0.0,0.0,0.0,353D1184 Index,184D1353 Index,Spain,2014
European Union,324536.0,55.84,150450.0,55.86,174086.0,55.82,-23636.0,998D1184 Index,184D1998 Index,Spain,2015
France,75882.7,13.06,39032.4,14.49,36850.3,11.82,2182.1,132D1184 Index,184D1132 Index,Spain,2015
Germany,74437.2,12.81,29423.6,10.92,45013.6,14.43,-15590.0,134D1184 Index,184D1134 Index,Spain,2015
Italy,40653.0,6.99,20601.5,7.65,20051.5,6.43,550.0,136D1184 Index,184D1136 Index,Spain,2015
United Kingdom,36680.3,6.31,21362.6,7.93,15317.7,4.91,6044.9,112D1184 Index,184D1112 Index,Spain,2015
Portugal,34581.9,5.95,22104.4,8.21,12477.5,4.0,9626.9,182D1184 Index,184D1182 Index,Spain,2015
China,27609.5,4.75,5621.1,2.09,21988.4,7.05,-16367.3,924D1184 Index,184D1924 Index,Spain,2015
United States,25377.9,4.37,14089.5,5.23,11288.4,3.62,2801.1,111D1184 Index,184D1111 Index,Spain,2015
Netherlands,24320.51,4.18,8568.81,3.18,15751.7,5.05,-7182.89,138D1184 Index,184D1138 Index,Spain,2015
Belgium,17128.22,2.95,6858.62,2.55,10269.6,3.29,-3410.98,124D1184 Index,184D1124 Index,Spain,2015
Algeria,10996.9,1.89,3778.51,1.4,7218.39,2.31,-3439.88,612D1184 Index,184D1612 Index,Spain,2015
Turkey,10751.59,1.85,5706.48,2.12,5045.11,1.62,661.37,186D1184 Index,184D1186 Index,Spain,2015
Morocco,10434.08,1.8,5143.66,1.91,5290.42,1.7,-146.76,686D1184 Index,184D1686 Index,Spain,2015
Poland,9921.22,1.71,4477.62,1.66,5443.6,1.75,-965.98,964D1184 Index,184D1964 Index,Spain,2015
Switzerland,8488.18,1.46,4714.04,1.75,3774.14,1.21,939.9,146D1184 Index,184D1146 Index,Spain,2015
Mexico,8406.19,1.45,4827.97,1.79,3578.22,1.15,1249.75,273D1184 Index,184D1273 Index,Spain,2015
Brazil,6965.75,1.2,3708.9,1.38,3256.85,1.04,452.05,223D1184 Index,184D1223 Index,Spain,2015
Czech Republic,6588.39,1.13,2217.48,0.82,4370.91,1.4,-2153.43,935D1184 Index,184D1935 Index,Spain,2015
Russia,6524.93,1.12,2824.33,1.05,3700.6,1.19,-876.27,922D1184 Index,184D1922 Index,Spain,2015
Japan,6393.31,1.1,3660.44,1.36,2732.87,0.88,927.57,158D1184 Index,184D1158 Index,Spain,2015
Saudi Arabia,6334.61,1.09,2556.44,0.95,3778.17,1.21,-1221.73,456D1184 Index,184D1456 Index,Spain,2015
Ireland,5700.89,0.98,986.6,0.37,4714.29,1.51,-3727.7,178D1184 Index,184D1178 Index,Spain,2015
Nigeria,5393.66,0.93,199.53,0.07,5194.13,1.67,-4994.6,694D1184 Index,184D1694 Index,Spain,2015
India,5124.36,0.88,1932.03,0.72,3192.33,1.02,-1260.3,534D1184 Index,184D1534 Index,Spain,2015
South Korea,4760.89,0.82,2335.07,0.87,2425.82,0.78,-90.75,542D1184 Index,184D1542 Index,Spain,2015
Sweden,4617.99,0.79,1884.15,0.7,2733.84,0.88,-849.69,144D1184 Index,184D1144 Index,Spain,2015
Austria,4465.82,0.77,2084.47,0.77,2381.35,0.76,-296.88,122D1184 Index,184D1122 Index,Spain,2015
Hungary,4134.19,0.71,1450.68,0.54,2683.51,0.86,-1232.83,944D1184 Index,184D1944 Index,Spain,2015
Romania,3795.9,0.65,1784.13,0.66,2011.77,0.65,-227.64,968D1184 Index,184D1968 Index,Spain,2015
Denmark,3655.81,0.63,1442.24,0.54,2213.57,0.71,-771.33,128D1184 Index,184D1128 Index,Spain,2015
Norway,3170.22,0.55,1374.76,0.51,1795.46,0.58,-420.7,142D1184 Index,184D1142 Index,Spain,2015
Chile,3059.98,0.53,1536.4,0.57,1523.58,0.49,12.82,228D1184 Index,184D1228 Index,Spain,2015
Canada,2967.62,0.51,1948.28,0.72,1019.34,0.33,928.94,156D1184 Index,184D1156 Index,Spain,2015
Vietnam,2660.05,0.46,399.79,0.15,2260.26,0.72,-1860.47,582D1184 Index,184D1582 Index,Spain,2015
Colombia,2633.82,0.45,915.25,0.34,1718.57,0.55,-803.32,233D1184 Index,184D1233 Index,Spain,2015
Angola,2595.62,0.45,347.84,0.13,2247.78,0.72,-1899.94,614D1184 Index,184D1614 Index,Spain,2015
Greece,2542.43,0.44,1771.93,0.66,770.5,0.25,1001.43,174D1184 Index,184D1174 Index,Spain,2015
Egypt,2505.19,0.43,1969.14,0.73,536.05,0.17,1433.09,469D1184 Index,184D1469 Index,Spain,2015
Argentina,2479.27,0.43,956.99,0.36,1522.28,0.49,-565.29,213D1184 Index,184D1213 Index,Spain,2015
South Africa,2427.72,0.42,1519.73,0.56,907.99,0.29,611.74,199D1184 Index,184D1199 Index,Spain,2015
Slovakia,2398.21,0.41,785.34,0.29,1612.87,0.52,-827.53,936D1184 Index,184D1936 Index,Spain,2015
Finland,2354.39,0.41,1180.21,0.44,1174.18,0.38,6.03,172D1184 Index,184D1172 Index,Spain,2015
United Arab Emirates,2169.88,0.37,1651.5,0.61,518.38,0.17,1133.13,466D1184 Index,184D1466 Index,Spain,2015
Indonesia,2145.74,0.37,472.54,0.18,1673.2,0.54,-1200.66,536D1184 Index,184D1536 Index,Spain,2015
Australia,2141.06,0.37,1630.51,0.61,510.55,0.16,1119.96,193D1184 Index,184D1193 Index,Spain,2015
Israel,2128.36,0.37,1345.5,0.5,782.87,0.25,562.64,436D1184 Index,184D1436 Index,Spain,2015
Bangladesh,2084.34,0.36,122.06,0.05,1962.29,0.63,-1840.24,513D1184 Index,184D1513 Index,Spain,2015
Peru,2060.45,0.35,742.23,0.28,1318.22,0.42,-575.99,293D1184 Index,184D1293 Index,Spain,2015
Bulgaria,1882.99,0.32,1339.85,0.5,543.14,0.17,796.71,918D1184 Index,184D1918 Index,Spain,2015
Lithuania,1794.97,0.31,548.61,0.2,1246.36,0.4,-697.75,946D1184 Index,184D1946 Index,Spain,2015
Ukraine,1669.84,0.29,440.38,0.16,1229.46,0.39,-789.08,926D1184 Index,184D1926 Index,Spain,2015
Venezuela,1647.44,0.28,708.32,0.26,939.12,0.3,-230.8,299D1184 Index,184D1299 Index,Spain,2015
Kazakhstan,1547.41,0.27,219.99,0.08,1327.42,0.43,-1107.43,916D1184 Index,184D1916 Index,Spain,2015
Iraq,1528.78,0.26,242.26,0.09,1286.52,0.41,-1044.26,433D1184 Index,184D1433 Index,Spain,2015
Tunisia,1470.82,0.25,847.68,0.31,623.14,0.2,224.54,744D1184 Index,184D1744 Index,Spain,2015
Cuba,1312.38,0.23,1175.19,0.44,137.19,0.04,1038.0,928D1184 Index,184D1928 Index,Spain,2015
Thailand,1298.96,0.22,500.35,0.19,798.6,0.26,-298.25,578D1184 Index,184D1578 Index,Spain,2015
Qatar,1218.64,0.21,366.35,0.14,852.28,0.27,-485.93,453D1184 Index,184D1453 Index,Spain,2015
Malaysia,1146.77,0.2,493.59,0.18,653.18,0.21,-159.6,548D1184 Index,184D1548 Index,Spain,2015
Hong Kong,1126.71,0.19,857.43,0.32,269.28,0.09,588.15,532D1184 Index,184D1532 Index,Spain,2015
Libya,1093.22,0.19,434.12,0.16,659.1,0.21,-224.98,672D1184 Index,184D1672 Index,Spain,2015
Singapore,1083.92,0.19,774.0,0.29,309.92,0.1,464.08,576D1184 Index,184D1576 Index,Spain,2015
Pakistan,1031.58,0.18,203.26,0.08,828.32,0.27,-625.06,564D1184 Index,184D1564 Index,Spain,2015
Ecuador,959.11,0.17,430.12,0.16,528.99,0.17,-98.87,248D1184 Index,184D1248 Index,Spain,2015
Slovenia,945.45,0.16,454.74,0.17,490.71,0.16,-35.97,961D1184 Index,184D1961 Index,Spain,2015
Equatorial Guinea,936.04,0.16,307.47,0.11,628.58,0.2,-321.11,642D1184 Index,184D1642 Index,Spain,2015
Luxembourg,856.03,0.15,151.03,0.06,705.01,0.23,-553.98,137D1184 Index,184D1137 Index,Spain,2015
Dominican Republic,658.33,0.11,565.05,0.21,93.28,0.03,471.77,243D1184 Index,184D1243 Index,Spain,2015
Croatia,627.87,0.11,428.72,0.16,199.15,0.06,229.57,960D1184 Index,184D1960 Index,Spain,2015
Lebanon,615.65,0.11,574.06,0.21,41.59,0.01,532.47,446D1184 Index,184D1446 Index,Spain,2015
Philippines,548.44,0.09,356.68,0.13,191.76,0.06,164.92,566D1184 Index,184D1566 Index,Spain,2015
Azerbaijan,532.55,0.09,61.56,0.02,470.99,0.15,-409.42,912D1184 Index,184D1912 Index,Spain,2015
Congo,525.79,0.09,299.17,0.11,226.62,0.07,72.55,634D1184 Index,184D1634 Index,Spain,2015
Cote D Ivoire,522.68,0.09,238.71,0.09,283.97,0.09,-45.27,662D1184 Index,184D1662 Index,Spain,2015
New Zealand,516.17,0.09,372.46,0.14,143.71,0.05,228.75,196D1184 Index,184D1196 Index,Spain,2015
Gabon,497.04,0.09,47.42,0.02,449.62,0.14,-402.19,646D1184 Index,184D1646 Index,Spain,2015
Cameroon,431.12,0.07,147.37,0.05,283.76,0.09,-136.39,622D1184 Index,184D1622 Index,Spain,2015
Serbia,429.67,0.07,236.83,0.09,192.84,0.06,43.99,942D1184 Index,184D1942 Index,Spain,2015
Jordan,424.4,0.07,369.46,0.14,54.94,0.02,314.52,439D1184 Index,184D1439 Index,Spain,2015
Cambodia,423.75,0.07,6.16,0.0,417.58,0.13,-411.42,522D1184 Index,184D1522 Index,Spain,2015
Costa Rica,391.31,0.07,218.07,0.08,173.24,0.06,44.84,238D1184 Index,184D1238 Index,Spain,2015
Panama,389.62,0.07,341.83,0.13,47.79,0.02,294.04,283D1184 Index,184D1283 Index,Spain,2015
Iran,367.92,0.06,200.67,0.07,167.25,0.05,33.42,429D1184 Index,184D1429 Index,Spain,2015
Ghana,367.86,0.06,263.12,0.1,104.74,0.03,158.39,652D1184 Index,184D1652 Index,Spain,2015
Guatemala,359.7,0.06,262.93,0.1,96.77,0.03,166.16,258D1184 Index,184D1258 Index,Spain,2015
Malta,356.49,0.06,254.65,0.09,101.84,0.03,152.82,181D1184 Index,184D1181 Index,Spain,2015
Uruguay,350.27,0.06,232.45,0.09,117.82,0.04,114.63,298D1184 Index,184D1298 Index,Spain,2015
Senegal,340.2,0.06,256.14,0.1,84.06,0.03,172.08,722D1184 Index,184D1722 Index,Spain,2015
Oman,334.85,0.06,246.95,0.09,87.89,0.03,159.06,449D1184 Index,184D1449 Index,Spain,2015
Estonia,331.22,0.06,199.73,0.07,131.48,0.04,68.25,939D1184 Index,184D1939 Index,Spain,2015
Latvia,327.43,0.06,204.89,0.08,122.54,0.04,82.34,941D1184 Index,184D1941 Index,Spain,2015
Mauritania,324.75,0.06,129.09,0.05,195.66,0.06,-66.57,682D1184 Index,184D1682 Index,Spain,2015
Belarus,283.45,0.05,249.4,0.09,34.05,0.01,215.35,913D1184 Index,184D1913 Index,Spain,2015
Paraguay,273.1,0.05,102.95,0.04,170.15,0.05,-67.19,288D1184 Index,184D1288 Index,Spain,2015
Bolivia,261.45,0.04,178.5,0.07,82.95,0.03,95.55,218D1184 Index,184D1218 Index,Spain,2015
Mozambique,247.24,0.04,52.53,0.02,194.71,0.06,-142.17,688D1184 Index,184D1688 Index,Spain,2015
Mauritius,236.85,0.04,143.54,0.05,93.3,0.03,50.24,684D1184 Index,184D1684 Index,Spain,2015
Cyprus,234.3,0.04,213.36,0.08,20.94,0.01,192.42,423D1184 Index,184D1423 Index,Spain,2015
Honduras,228.87,0.04,180.83,0.07,48.04,0.02,132.79,268D1184 Index,184D1268 Index,Spain,2015
Bahrain,228.52,0.04,135.12,0.05,93.4,0.03,41.71,419D1184 Index,184D1419 Index,Spain,2015
Zambia,224.14,0.04,214.24,0.08,9.9,0.0,204.34,754D1184 Index,184D1754 Index,Spain,2015
Guinea,214.42,0.04,34.79,0.01,179.63,0.06,-144.83,656D1184 Index,184D1656 Index,Spain,2015
Kuwait,203.67,0.04,112.67,0.04,91.0,0.03,21.67,443D1184 Index,184D1443 Index,Spain,2015
Ethiopia,173.98,0.03,123.38,0.05,50.6,0.02,72.78,644D1184 Index,184D1644 Index,Spain,2015
El Salvador,173.74,0.03,131.85,0.05,41.89,0.01,89.95,253D1184 Index,184D1253 Index,Spain,2015
Macedonia,169.26,0.03,76.67,0.03,92.58,0.03,-15.91,962D1184 Index,184D1962 Index,Spain,2015
Albania,168.22,0.03,69.14,0.03,99.08,0.03,-29.94,914D1184 Index,184D1914 Index,Spain,2015
Kenya,157.08,0.03,115.83,0.04,41.26,0.01,74.57,664D1184 Index,184D1664 Index,Spain,2015
Benin,151.11,0.03,147.81,0.05,3.3,0.0,144.51,638D1184 Index,184D1638 Index,Spain,2015
Georgia,143.59,0.02,91.31,0.03,52.28,0.02,39.02,915D1184 Index,184D1915 Index,Spain,2015
